,Rank,Word,Frequency
120,1,내,325
247,2,너무,311
40,3,ㅋㅋㅋ,293
63,4,사랑,283
155,5,아이돌,279
251,6,아미,268
213,7,가다,231
167,8,그렇다,230
44,9,나오다,223
353,10,보라,185
235,11,팬,184
206,12,오늘,182
205,13,보고,182
518,14,ㅠㅠㅠ,178
197,15,모르다,161
10,16,영어,153
159,17,많다,151
95,18,받다,151
144,19,오다,146
12,20,ㅠㅠ,144
16,21,그래미,139
418,22,자랑스럽다,136
90,23,지금,133
419,24,가수,129
255,25,한국,128
452,26,영상,125
165,27,뭐,125
13,28,덕질,123
483,29,잘,123
36,30,님,123
1882,31,⁠,118
128,32,정말,118
168,33,얘기,118
511,34,최고,116
72,35,자다,114
249,36,애,114
96,37,노래,112
798,38,작다,110
611,39,총회,110
24,40,대단하다,108
161,41,해주다,103
1053,42,뉴스,101
119,43,어떻다,100
357,44,!!,98
1096,45,싶다,98
51,46,그냥,97
187,47,ㅋㅋ,95
605,48,스타,93
291,49,좋아하다,93
232,50,인데,91
61,51,이렇다,90
1902,52,투표,90
776,53,멋있다,89
791,54,잘생기다,89
392,55,ㅠ,86
2131,56,http://sports.hankooki.com/fancake/plugin/star_single,86
211,57,이랑,86
865,58,무대,85
254,59,알엠,85
471,60,살다,84
752,61,화양연화,84
180,62,내다,83
37,63,듣다,82
339,64,라고,81
175,65,쌤,81
264,66,훈장,81
585,67,랑,81
199,68,친구,80
207,69,입덕,80
172,70,많이,80
323,71,한테,78
802,72,페르소나,77
707,73,학교,76
316,74,관심,75
78,75,주다,75
589,76,....,75
636,77,",,",74
73,78,크다,72
126,79,콘서트,72
261,80,문화,72
26,81,맞다,71
59,82,리더,70
405,83,대상,68
860,84,멋지다,67
1412,85,문제,67
195,86,끄다,67
814,87,웸블리,66
987,88,분들,65
1363,89,엄마,64
1704,90,이제,64
1288,91,존나,62
534,92,라이브,62
1920,93,⁠⁠,61
102,94,넘다,60
805,95,짱,59
873,96,근데,59
3375,97,#BTSpic,58
14,98,공부,58
307,99,난,57
268,100,이라고,56
800,101,밤,56
594,102,ㅋ,55
